time,field,value
2025-03-15 00:00:00+00:00,Sound pressure (dB(A)),55.1666666666667
2025-03-15 00:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),81.0011656441718
2025-03-15 00:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),3286.03333333333
2025-03-15 00:00:00+00:00,Relative humidity (R.H.) (%),63.4016666666667
2025-03-15 00:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 00:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),92.975
2025-03-15 00:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),87.8083333333333
2025-03-15 00:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 00:00:00+00:00,Temperature (°C),20.7564834333333
2025-03-15 01:00:00+00:00,Sound pressure (dB(A)),51.5833333333333
2025-03-15 01:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),59.6915337423313
2025-03-15 01:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),2536.38333333333
2025-03-15 01:00:00+00:00,Relative humidity (R.H.) (%),62.2766666666667
2025-03-15 01:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 01:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),75.6833333333333
2025-03-15 01:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),68.6
2025-03-15 01:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 01:00:00+00:00,Temperature (°C),20.0073167666667
2025-03-15 02:00:00+00:00,Sound pressure (dB(A)),52.0833333333333
2025-03-15 02:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),41.4524539877301
2025-03-15 02:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1838.68333333333
2025-03-15 02:00:00+00:00,Relative humidity (R.H.) (%),60.9525
2025-03-15 02:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 02:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),99.85
2025-03-15 02:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),90.375
2025-03-15 02:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 02:00:00+00:00,Temperature (°C),19.4948167666667
2025-03-15 03:00:00+00:00,Sound pressure (dB(A)),47.5833333333333
2025-03-15 03:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),29.1088343558282
2025-03-15 03:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1355.425
2025-03-15 03:00:00+00:00,Relative humidity (R.H.) (%),59.9533333333333
2025-03-15 03:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 03:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),90.4666666666667
2025-03-15 03:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),77.7
2025-03-15 03:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 03:00:00+00:00,Temperature (°C),19.1464834333333
2025-03-15 04:00:00+00:00,Sound pressure (dB(A)),44.1666666666667
2025-03-15 04:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),20.2428993410589
2025-03-15 04:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1107.30092592593
2025-03-15 04:00:00+00:00,Relative humidity (R.H.) (%),58.3453703703704
2025-03-15 04:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 04:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),61.4074074074074
2025-03-15 04:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),53.212962962963
2025-03-15 04:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 04:00:00+00:00,Temperature (°C),18.8577797296296
2025-03-15 05:00:00+00:00,Sound pressure (dB(A)),40.9166666666667
