,time,category,field,value,score
0,2025-03-15 00:00:00+00:00,Acoustics,Sound pressure (dB(A)),55.16666666666666,0.1
1,2025-03-15 00:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),81.00116564417179,21.0
3,2025-03-15 00:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),3286.0333333333333,0.1
4,2025-03-15 00:00:00+00:00,Air quality,Relative humidity (R.H.) (%),63.40166666666666,32.0
6,2025-03-15 00:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
7,2025-03-15 00:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),92.975,31.0
8,2025-03-15 00:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),87.80833333333334,0.1
10,2025-03-15 00:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
11,2025-03-15 00:00:00+00:00,Thermal comfort,Temperature (°C),20.756483433333337,92.0
12,2025-03-15 01:00:00+00:00,Acoustics,Sound pressure (dB(A)),51.583333333333336,0.1
13,2025-03-15 01:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),59.691533742331295,44.0
15,2025-03-15 01:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2536.383333333333,0.1
16,2025-03-15 01:00:00+00:00,Air quality,Relative humidity (R.H.) (%),62.276666666666664,38.0
18,2025-03-15 01:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
19,2025-03-15 01:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),75.68333333333334,38.0
20,2025-03-15 01:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),68.6,7.0
22,2025-03-15 01:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
23,2025-03-15 01:00:00+00:00,Thermal comfort,Temperature (°C),20.00731676666667,100.0
24,2025-03-15 02:00:00+00:00,Acoustics,Sound pressure (dB(A)),52.083333333333336,0.1
25,2025-03-15 02:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),41.45245398773007,65.0
27,2025-03-15 02:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1838.6833333333334,13.0
28,2025-03-15 02:00:00+00:00,Air quality,Relative humidity (R.H.) (%),60.9525,45.0
30,2025-03-15 02:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
31,2025-03-15 02:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),99.85,20.0
32,2025-03-15 02:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),90.375,0.1
34,2025-03-15 02:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
35,2025-03-15 02:00:00+00:00,Thermal comfort,Temperature (°C),19.494816766666666,100.0
36,2025-03-15 03:00:00+00:00,Acoustics,Sound pressure (dB(A)),47.583333333333336,0.1
37,2025-03-15 03:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),29.108834355828225,78.0
39,2025-03-15 03:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1355.425,53.0
