,time,category,field,value,score
0,2025-03-15 00:00:00+00:00,Air quality,co2,3509.4166666666665,0.0
1,2025-03-15 01:00:00+00:00,Air quality,co2,2744.25,0.0
2,2025-03-15 02:00:00+00:00,Air quality,co2,1985.0833333333333,1.2430555555555642
3,2025-03-15 03:00:00+00:00,Air quality,co2,1443.5,46.375
4,2025-03-15 04:00:00+00:00,Air quality,co2,1184.25,67.97916666666667
5,2025-03-15 05:00:00+00:00,Air quality,co2,1305.0,57.916666666666664
6,2025-03-15 06:00:00+00:00,Air quality,co2,1073.909090909091,77.17424242424242
7,2025-03-15 07:00:00+00:00,Air quality,co2,1393.6666666666667,50.52777777777777
8,2025-03-15 08:00:00+00:00,Air quality,co2,1288.0833333333333,59.3263888888889
9,2025-03-15 09:00:00+00:00,Air quality,co2,1063.9166666666667,78.00694444444443
10,2025-03-15 10:00:00+00:00,Air quality,co2,496.9166666666667,100.0
11,2025-03-15 11:00:00+00:00,Air quality,co2,489.9166666666667,100.0
12,2025-03-15 12:00:00+00:00,Air quality,co2,485.25,100.0
13,2025-03-15 13:00:00+00:00,Air quality,co2,1486.0833333333333,42.82638888888889
14,2025-03-15 14:00:00+00:00,Air quality,co2,2541.1666666666665,0.0
15,2025-03-15 15:00:00+00:00,Air quality,co2,3344.75,0.0
16,2025-03-15 16:00:00+00:00,Air quality,co2,4458.5,0.0
17,2025-03-15 17:00:00+00:00,Air quality,co2,4817.0,0.0
18,2025-03-15 18:00:00+00:00,Air quality,co2,4817.0,0.0
19,2025-03-15 19:00:00+00:00,Air quality,co2,1412.5,48.958333333333336
20,2025-03-15 20:00:00+00:00,Air quality,co2,520.6666666666666,100.0
21,2025-03-15 21:00:00+00:00,Air quality,co2,2237.083333333333,0.0
22,2025-03-15 22:00:00+00:00,Air quality,co2,4338.75,0.0
23,2025-03-15 23:00:00+00:00,Air quality,co2,4817.0,0.0
24,2025-03-16 00:00:00+00:00,Air quality,co2,4720.25,0.0
25,2025-03-16 01:00:00+00:00,Air quality,co2,3577.25,0.0
26,2025-03-16 02:00:00+00:00,Air quality,co2,2720.4166666666665,0.0
27,2025-03-16 03:00:00+00:00,Air quality,co2,2140.454545454545,0.0
28,2025-03-16 04:00:00+00:00,Air quality,co2,1893.1666666666667,8.902777777777771
29,2025-03-16 05:00:00+00:00,Air quality,co2,1589.4545454545455,34.212121212121204
30,2025-03-16 06:00:00+00:00,Air quality,co2,1318.75,56.77083333333333
31,2025-03-16 07:00:00+00:00,Air quality,co2,1060.3333333333333,78.30555555555556
32,2025-03-16 08:00:00+00:00,Air quality,co2,1894.25,8.8125
33,2025-03-16 09:00:00+00:00,Air quality,co2,1933.75,5.520833333333336
34,2025-03-16 10:00:00+00:00,Air quality,co2,570.9166666666666,100.0
35,2025-03-16 11:00:00+00:00,Air quality,co2,1362.5,53.125
36,2025-03-16 12:00:00+00:00,Air quality,co2,2727.1666666666665,0.0
37,2025-03-16 13:00:00+00:00,Air quality,co2,4062.6666666666665,0.0
38,2025-03-16 14:00:00+00:00,Air quality,co2,4807.833333333333,0.0
39,2025-03-16 15:00:00+00:00,Air quality,co2,4817.0,0.0
40,2025-03-16 16:00:00+00:00,Air quality,co2,4817.0,0.0
41,2025-03-16 17:00:00+00:00,Air quality,co2,2605.5,0.0
42,2025-03-16 18:00:00+00:00,Air quality,co2,493.8333333333333,100.0
43,2025-03-16 19:00:00+00:00,Air quality,co2,620.75,100.0
44,2025-03-16 20:00:00+00:00,Air quality,co2,2265.333333333333,0.0
45,2025-03-16 21:00:00+00:00,Air quality,co2,4012.5833333333335,0.0
46,2025-03-16 22:00:00+00:00,Air quality,co2,4815.666666666667,0.0
47,2025-03-16 23:00:00+00:00,Air quality,co2,4817.0,0.0
48,2025-03-17 00:00:00+00:00,Air quality,co2,4404.833333333333,0.0
49,2025-03-17 01:00:00+00:00,Air quality,co2,3517.25,0.0
50,2025-03-17 02:00:00+00:00,Air quality,co2,2747.833333333333,0.0
51,2025-03-17 03:00:00+00:00,Air quality,co2,2124.6666666666665,0.0
52,2025-03-17 04:00:00+00:00,Air quality,co2,1766.8333333333333,19.43055555555556
53,2025-03-17 05:00:00+00:00,Air quality,co2,1902.9166666666667,8.090277777777771
54,2025-03-17 06:00:00+00:00,Air quality,co2,541.25,100.0
55,2025-03-17 07:00:00+00:00,Air quality,co2,458.9166666666667,100.0
56,2025-03-17 08:00:00+00:00,Air quality,co2,460.75,100.0
57,2025-03-17 09:00:00+00:00,Air quality,co2,444.3333333333333,100.0
58,2025-03-17 10:00:00+00:00,Air quality,co2,440.5,100.0
59,2025-03-17 11:00:00+00:00,Air quality,co2,447.6363636363636,100.0
60,2025-03-17 12:00:00+00:00,Air quality,co2,440.8333333333333,100.0
61,2025-03-17 13:00:00+00:00,Air quality,co2,437.5,100.0
62,2025-03-17 14:00:00+00:00,Air quality,co2,471.1666666666667,100.0
63,2025-03-17 15:00:00+00:00,Air quality,co2,2058.0,0.0
64,2025-03-17 16:00:00+00:00,Air quality,co2,1799.5,16.70833333333333
65,2025-03-17 17:00:00+00:00,Air quality,co2,616.5833333333334,100.0
66,2025-03-17 18:00:00+00:00,Air quality,co2,478.75,100.0
67,2025-03-17 19:00:00+00:00,Air quality,co2,455.5,100.0
68,2025-03-17 20:00:00+00:00,Air quality,co2,1600.3333333333333,33.305555555555564
69,2025-03-17 21:00:00+00:00,Air quality,co2,3494.083333333333,0.0
70,2025-03-17 22:00:00+00:00,Air quality,co2,3956.4166666666665,0.0
71,2025-03-17 23:00:00+00:00,Air quality,co2,2707.0,0.0
72,2025-03-18 00:00:00+00:00,Air quality,co2,2080.6666666666665,0.0
73,2025-03-18 01:00:00+00:00,Air quality,co2,1621.3333333333333,31.55555555555556
74,2025-03-18 02:00:00+00:00,Air quality,co2,1334.3333333333333,55.47222222222223
75,2025-03-18 03:00:00+00:00,Air quality,co2,1156.0833333333333,70.3263888888889
76,2025-03-18 04:00:00+00:00,Air quality,co2,1078.0833333333333,76.82638888888889
77,2025-03-18 05:00:00+00:00,Air quality,co2,1782.4166666666667,18.131944444444436
78,2025-03-18 06:00:00+00:00,Air quality,co2,1584.9166666666667,34.59027777777777
79,2025-03-18 07:00:00+00:00,Air quality,co2,1356.9166666666667,53.59027777777777
80,2025-03-18 08:00:00+00:00,Air quality,co2,1221.0,64.91666666666666
81,2025-03-18 09:00:00+00:00,Air quality,co2,1114.4166666666667,73.79861111111111
82,2025-03-18 10:00:00+00:00,Air quality,co2,2067.4166666666665,0.0
83,2025-03-18 11:00:00+00:00,Air quality,co2,1688.5,25.958333333333332
84,2025-03-18 12:00:00+00:00,Air quality,co2,1126.0833333333333,72.82638888888889
85,2025-03-18 13:00:00+00:00,Air quality,co2,475.8333333333333,100.0
86,2025-03-18 14:00:00+00:00,Air quality,co2,515.9166666666666,100.0
87,2025-03-18 15:00:00+00:00,Air quality,co2,1750.25,20.8125
88,2025-03-18 16:00:00+00:00,Air quality,co2,3455.0,0.0
89,2025-03-18 17:00:00+00:00,Air quality,co2,4608.666666666667,0.0
90,2025-03-18 18:00:00+00:00,Air quality,co2,4786.75,0.0
91,2025-03-18 19:00:00+00:00,Air quality,co2,1423.25,48.0625
92,2025-03-18 20:00:00+00:00,Air quality,co2,885.8333333333334,92.8472222222222
93,2025-03-18 21:00:00+00:00,Air quality,co2,3289.5,0.0
94,2025-03-18 22:00:00+00:00,Air quality,co2,4788.25,0.0
95,2025-03-18 23:00:00+00:00,Air quality,co2,4810.0,0.0
96,2025-03-19 00:00:00+00:00,Air quality,co2,4464.916666666667,0.0
97,2025-03-19 01:00:00+00:00,Air quality,co2,3270.833333333333,0.0
98,2025-03-19 02:00:00+00:00,Air quality,co2,2482.083333333333,0.0
99,2025-03-19 03:00:00+00:00,Air quality,co2,2002.8333333333333,0.0
100,2025-03-19 04:00:00+00:00,Air quality,co2,1750.75,20.770833333333332
101,2025-03-19 05:00:00+00:00,Air quality,co2,1545.1666666666667,37.90277777777777
102,2025-03-19 06:00:00+00:00,Air quality,co2,1406.3333333333333,49.47222222222223
103,2025-03-19 07:00:00+00:00,Air quality,co2,1605.3333333333333,32.8888888888889
104,2025-03-19 08:00:00+00:00,Air quality,co2,2139.5,0.0
105,2025-03-19 09:00:00+00:00,Air quality,co2,2468.4166666666665,0.0
106,2025-03-19 10:00:00+00:00,Air quality,co2,1966.9166666666667,2.756944444444436
107,2025-03-19 11:00:00+00:00,Air quality,co2,1454.2727272727273,45.47727272727273
108,2025-03-19 12:00:00+00:00,Air quality,co2,2109.4166666666665,0.0
109,2025-03-19 13:00:00+00:00,Air quality,co2,572.0833333333334,100.0
110,2025-03-19 14:00:00+00:00,Air quality,co2,664.5,100.0
111,2025-03-19 15:00:00+00:00,Air quality,co2,2293.8,0.0
112,2025-03-19 16:00:00+00:00,Air quality,co2,4167.181818181818,0.0
113,2025-03-19 17:00:00+00:00,Air quality,co2,4809.272727272727,0.0
114,2025-03-19 18:00:00+00:00,Air quality,co2,2909.9166666666665,0.0
115,2025-03-19 19:00:00+00:00,Air quality,co2,532.0833333333334,100.0
116,2025-03-19 20:00:00+00:00,Air quality,co2,614.75,100.0
117,2025-03-19 21:00:00+00:00,Air quality,co2,2236.1666666666665,0.0
118,2025-03-19 22:00:00+00:00,Air quality,co2,3573.833333333333,0.0
119,2025-03-19 23:00:00+00:00,Air quality,co2,3882.3333333333335,0.0
120,2025-03-20 00:00:00+00:00,Air quality,co2,3047.583333333333,0.0
121,2025-03-20 01:00:00+00:00,Air quality,co2,2717.083333333333,0.0
122,2025-03-20 02:00:00+00:00,Air quality,co2,2909.2727272727275,0.0
123,2025-03-20 03:00:00+00:00,Air quality,co2,2659.5,0.0
124,2025-03-20 04:00:00+00:00,Air quality,co2,2999.25,0.0
125,2025-03-20 05:00:00+00:00,Air quality,co2,2679.333333333333,0.0
126,2025-03-20 06:00:00+00:00,Air quality,co2,2377.583333333333,0.0
127,2025-03-20 07:00:00+00:00,Air quality,co2,2143.25,0.0
128,2025-03-20 08:00:00+00:00,Air quality,co2,2043.1666666666667,0.0
129,2025-03-20 09:00:00+00:00,Air quality,co2,520.8333333333334,100.0
130,2025-03-20 10:00:00+00:00,Air quality,co2,608.0,100.0
131,2025-03-20 11:00:00+00:00,Air quality,co2,819.0,98.41666666666669
132,2025-03-20 12:00:00+00:00,Air quality,co2,483.8333333333333,100.0
133,2025-03-20 13:00:00+00:00,Air quality,co2,490.5833333333333,100.0
134,2025-03-20 14:00:00+00:00,Air quality,co2,508.5833333333333,100.0
135,2025-03-20 15:00:00+00:00,Air quality,co2,1625.0833333333333,31.243055555555564
136,2025-03-20 16:00:00+00:00,Air quality,co2,2492.833333333333,0.0
137,2025-03-20 17:00:00+00:00,Air quality,co2,3188.0,0.0
138,2025-03-20 18:00:00+00:00,Air quality,co2,3163.1666666666665,0.0
139,2025-03-20 19:00:00+00:00,Air quality,co2,771.0833333333334,100.0
140,2025-03-20 20:00:00+00:00,Air quality,co2,1110.0,74.16666666666666
141,2025-03-20 21:00:00+00:00,Air quality,co2,3104.6666666666665,0.0
142,2025-03-20 22:00:00+00:00,Air quality,co2,4465.666666666667,0.0
143,2025-03-20 23:00:00+00:00,Air quality,co2,4429.583333333333,0.0
144,2025-03-21 00:00:00+00:00,Air quality,co2,4090.0833333333335,0.0
145,2025-03-21 01:00:00+00:00,Air quality,co2,3623.75,0.0
146,2025-03-21 02:00:00+00:00,Air quality,co2,3324.833333333333,0.0
147,2025-03-21 03:00:00+00:00,Air quality,co2,3141.1666666666665,0.0
148,2025-03-21 04:00:00+00:00,Air quality,co2,3009.5,0.0
149,2025-03-21 05:00:00+00:00,Air quality,co2,2862.75,0.0
150,2025-03-21 06:00:00+00:00,Air quality,co2,2770.454545454545,0.0
151,2025-03-21 07:00:00+00:00,Air quality,co2,2598.9166666666665,0.0
152,2025-03-21 08:00:00+00:00,Air quality,co2,2418.583333333333,0.0
153,2025-03-21 09:00:00+00:00,Air quality,co2,1311.5,57.375
154,2025-03-21 10:00:00+00:00,Air quality,co2,487.9166666666667,100.0
155,2025-03-21 11:00:00+00:00,Air quality,co2,462.1666666666667,100.0
156,2025-03-21 12:00:00+00:00,Air quality,co2,505.1666666666667,100.0
157,2025-03-21 13:00:00+00:00,Air quality,co2,439.5,100.0
158,2025-03-21 14:00:00+00:00,Air quality,co2,459.0833333333333,100.0
159,2025-03-21 15:00:00+00:00,Air quality,co2,873.0,93.91666666666669
160,2025-03-21 16:00:00+00:00,Air quality,co2,1091.75,75.6875
161,2025-03-21 17:00:00+00:00,Air quality,co2,1150.0833333333333,70.8263888888889
162,2025-03-21 18:00:00+00:00,Air quality,co2,1298.75,58.4375
163,2025-03-21 19:00:00+00:00,Air quality,co2,569.9090909090909,100.0
164,2025-03-21 20:00:00+00:00,Air quality,co2,1109.4166666666667,74.21527777777777
165,2025-03-21 21:00:00+00:00,Air quality,co2,3265.6666666666665,0.0
166,2025-03-21 22:00:00+00:00,Air quality,co2,4668.916666666667,0.0
167,2025-03-21 23:00:00+00:00,Air quality,co2,4768.5,0.0
